pixrad,asw,n_models,z_src_used,mid,z_lens_used,user,swid
8,ASW0004dv8,200,1.0,11365,0.5,Capella05,SW01,
8,ASW0004dv8,200,1.0,11366,0.5,Capella05,SW01,
12,ASW0004dv8,200,1.0,11367,0.5,Capella05,SW01,
12,ASW0004dv8,200,1.0,11368,0.5,Capella05,SW01,
12,ASW0004dv8,300,1.0,11369,0.5,Capella05,SW01,
12,ASW0004dv8,200,1.0,11370,0.5,Capella05,SW01,
12,ASW0004dv8,300,1.0,11371,0.5,Capella05,SW01,
12,ASW0004dv8,200,1.0,11372,0.5,Capella05,SW01,
12,ASW0004dv8,300,1.0,11373,0.5,Capella05,SW01,
12,ASW0004dv8,300,1.0,11374,0.5,Capella05,SW01,
8,ASW0004dv8,200,1.0,11375,0.5,rafik,SW01,
10,ASW0006jh5,200,1.0,13427,0.5,c_cld,SW27,
12,ASW0006jh5,200,1.0,13428,0.5,c_cld,SW27,
8,ASW0004dv8,200,1.0,5237,0.5,Capella05,SW01,
,ASW0009ah7,,,B7S2OP7PZR,,,----,
,ASW0001c3j,,,Q7LF3QLRU6,,,SW43,
8,ASW0008wmr,200,1.0,13445,0.5,psrk,SW40,
8,ASW0008wmr,200,1.0,13448,0.5,psrk,SW40,
11,ASW000619d,200,1.0,11416,0.5,c_cld,SW02,
12,ASW000619d,200,1.0,11418,0.5,c_cld,SW02,
12,ASW000619d,200,1.0,11419,0.5,c_cld,SW02,
8,ASW0004dv8,200,1.0,9373,0.5,ElisabethB,SW01,
,ASW0008qab,,,5U7LIYDYHB,,,----,
,ASW0009cox,,,CLH5R3M5SP,,,----,
8,ASW0004dv8,200,1.0,9381,0.5,ElisabethB,SW01,
12,ASW0004dv8,300,1.0,7334,0.5,psaha,SW01,
12,ASW0004dv8,200,1.0,7335,0.5,Capella05,SW01,
,ASW0009cjs,,,NJ5CC5YJAQ,,,SW04,
,ASW0005mp6,,,4YZYCJGYPN,,,----,
12,ASW0004dv8,200,1.0,7350,0.5,Capella05,SW01,
12,ASW0004dv8,200,2.0,5310,0.3,c_cld,SW01,
,ASW00024id,,,EL3RTBLAWB,,,SW45,
,ASW000066w,,,6L6NTZUFHP,,,----,
,ASW0000h2m,,,QHOL7JWYFV,,,----,
12,ASW000619d,200,1.0,11486,0.5,Phil,SW02,
8,ASW000619d,200,1.0,11489,0.5,psaha,SW02,
,ASW0008qab,,,2GQJURWGZM,,,----,
,ASW00042d9,,,2KKAJDVL6U,,,----,
,ASW00019n9,,,7SDAK7C7GP,,,----,
12,ASW0004dv8,300,1.0,7403,0.5,c_cld,SW01,
12,ASW0004dv8,300,1.1,7405,0.4,c_cld,SW01,
11,ASW0004dv8,200,1.0,6696,0.5,jasonjason,SW01,
,ASW0002dx7,,,FSWEUNRWOQ,,,SW20,
10,ASW00024id,200,1.0,13557,0.5,c_cld,SW45,
11,ASW00024id,200,1.0,13560,0.5,c_cld,SW45,
11,ASW00024id,200,1.0,13561,0.5,c_cld,SW45,
11,ASW00024id,200,1.0,13562,0.5,c_cld,SW45,
12,ASW0004dv8,200,1.0,7421,0.5,Capella05,SW01,
12,ASW0004dv8,300,1.0,7422,0.5,Phil,SW01,
12,ASW0004dv8,300,0.7,7040,0.25,c_cld,SW01,
12,ASW0004dv8,300,0.7,7432,0.4,c_cld,SW01,
,ASW0005mp6,,,O2IUZZQD7A,,,----,
,ASW0009ah7,,,CP77WIBRJ2,,,----,
,ASW00097xm,,,C6H3MBX3CI,,,----,
,ASW0006a07,,,13589,,C_cld,SW52,
,ASW0002owo,,,LUDI4PUDNO,,,----,
,ASW0000e28,,,KAOIMYEL7D,,,----,
10,ASW00024id,200,1.3,13599,0.66,c_cld,SW45,
12,ASW00024id,200,1.3,13600,0.66,c_cld,SW45,
,ASW0000h2m,,,2LPJNLJ5FH,,,----,
12,ASW0004dv8,300,0.7,7459,0.4,c_cld,SW01,
,ASW0005ks6,,,I4TFCVDWML,,,----,
11,ASW00024id,200,1.1,13606,0.63,c_cld,SW45,
,ASW0008qab,,,4WTOAVW7ZW,,,----,
10,ASW00024id,200,1.1,13611,0.63,c_cld,SW45,
9,ASW00024id,200,1.1,13614,0.63,c_cld,SW45,
9,ASW00024id,200,1.1,13615,0.63,c_cld,SW45,
12,ASW0004dv8,300,1.0,7479,0.5,ElisabethB,SW01,
,ASW0000p5i,,,FYDZNC6QCI,,,----,
,ASW000102p,,,SQEZSUAUHT,,,----,
,ASW0003s0m,,,ECXCIRBDUJ,,,SW33,
,ASW0004m3x,,,VTGDU6KOBA,,,SW21,
,ASW00018yo,,,DU2AKRBJYL,,,----,
,ASW00099ed,,,ZFLBBEULHS,,,SW08,
,ASW0006hn5,,,3CZKRVCD4A,,,----,
,ASW0002jo0,,,YE4PNVQTQN,,,----,
,ASW0005ma2,,,ENWYZIEIV6,,,SW26,
