mid,type,asw,paperid,user,pixrad,nmodels,z_lens_used,z_src_used,m<R,glsv,lmtv,pxscale,z_lens_real,z_src_real,corrected_mass
011371,old,ASW0004dv8,SW01,Capella05,12,300,0.5,1.0,5.03225946547e+12,4,1.6.3,0.16456,0.0,3.0,0
011372,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,3.65161323539e+12,4,1.6.3,0.16456,0.0,3.0,0
011373,old,ASW0004dv8,SW01,Capella05,12,300,0.5,1.0,5.24071042828e+12,4,1.6.3,0.16456,0.0,3.0,0
011374,old,ASW0004dv8,SW01,Capella05,12,300,0.5,1.0,7.96456502843e+12,4,1.6.3,0.16456,0.0,3.0,0
011375,old,ASW0004dv8,SW01,rafik,8,200,0.5,1.0,5.94025386416e+12,4,1.6.3,0.16456,0.0,3.0,0
011416,old,ASW000619d,SW02,c_cld,11,200,0.5,1.0,1.18017000603e+12,4,1.6.3,0.16456,0.7,2.7,1.14781023571e+12
011418,old,ASW000619d,SW02,c_cld,12,200,0.5,1.0,1.1908654928e+12,4,1.6.3,0.16456,0.7,2.7,1.15821245667e+12
011419,old,ASW000619d,SW02,c_cld,12,200,0.5,1.0,1.26875897312e+12,4,1.6.3,0.16456,0.7,2.7,1.23397013019e+12
011421,old,ASW000619d,SW02,c_cld,12,200,0.5,1.0,1.3227662191e+12,4,1.6.3,0.16456,0.7,2.7,1.28649651997e+12
011486,old,ASW000619d,SW02,Phil,12,200,0.5,1.0,1.56371086674e+12,4,1.6.3,0.16456,0.7,2.7,1.52083456566e+12
011489,old,ASW000619d,SW02,psaha,8,200,0.5,1.0,2.65200489988e+12,4,1.6.3,0.16456,0.7,2.7,2.57928802941e+12
011707,old,ASW0008swn,SW06,c_cld,12,200,0.5,1.0,1.08533538889e+12,4,1.6.3,0.16456,0.5,2.7,732207105452.0
011717,old,ASW00096rm,SW42,c_cld,12,200,0.5,1.0,618972093436.0,4,1.6.3,0.16456,0.1,1.7,87131475116.8
011763,old,ASW0009cjs,SW04,c_cld,12,200,0.5,1.0,9.16944309923e+12,4,1.6.3,0.16456,0.5,2.7,6.1860430048e+12
012298,old,ASW0009ab8,SW22,c_cld,12,200,0.31,1.2,1.06354507888e+12,4,1.6.3,0.16456,0.4,2.0,1.20559270871e+12
012359,old,ASW0004dv8,SW01,Phil,9,200,0.5,1.0,8.45159184302e+12,4,1.6.3,0.16456,0.0,3.0,0
012372,old,ASW0008swn,SW06,c_cld,11,200,0.5,1.0,1.57405549576e+12,4,1.6.3,0.16456,0.5,2.7,1.06191563472e+12
012373,old,ASW0008swn,SW06,c_cld,12,200,0.5,1.0,1.47884358754e+12,4,1.6.3,0.16456,0.5,2.7,997682185373.0
012400,old,ASW0007k4r,SW05,c_cld,11,200,0.5,1.0,1.46294666877e+13,4,1.6.3,0.16456,0.6,2.7,1.19679926334e+13
012401,old,ASW0007k4r,SW05,c_cld,12,200,0.5,1.0,1.37138128853e+13,4,1.6.3,0.16456,0.6,2.7,1.12189196702e+13
012402,old,ASW0007k4r,SW05,c_cld,12,200,0.5,1.0,1.39080770463e+13,4,1.6.3,0.16456,0.6,2.7,1.13778422131e+13
012522,old,ASW00024q6,SW46,c_cld,11,200,0.5,1.0,968421890677.0,4,1.6.3,0.16456,0.5,1.3,653332966647.0
012523,old,ASW00024q6,SW46,c_cld,12,200,0.5,1.0,890849369292.0,4,1.6.3,0.16456,0.5,1.3,600999695359.0
012553,old,ASW00047ae,SW13,c_cld,10,200,0.5,1.0,1.29533027216e+12,4,1.6.3,0.16456,0.4,2.3,697536459854.0
012554,old,ASW00047ae,SW13,c_cld,12,200,0.5,1.0,1.09966729164e+12,4,1.6.3,0.16456,0.4,2.3,592171777435.0
012694,old,ASW0007k4r,SW05,c_cld,12,200,0.62,1.55,1.33389437047e+13,4,1.6.3,0.16456,0.6,2.7,1.12423112852e+13
012711,old,ASW0003wsu,SW12,c_cld,10,200,0.5,1.0,664915943553.0,4,1.6.3,0.16456,0.4,2.3,358057804511.0
012712,old,ASW0003wsu,SW12,c_cld,12,200,0.5,1.0,559223511226.0,4,1.6.3,0.16456,0.4,2.3,301142339271.0
012736,old,ASW0008swn,SW06,c_cld,7,200,0.5,1.0,1.11999259447e+12,4,1.6.3,0.16456,0.5,2.7,755588128906.0
012737,old,ASW0008swn,SW06,c_cld,10,200,0.5,1.0,697172281216.0,4,1.6.3,0.16456,0.5,2.7,470338020171.0
012738,old,ASW0008swn,SW06,c_cld,12,200,0.5,1.0,609890005646.0,4,1.6.3,0.16456,0.5,2.7,411454192179.0
012766,old,ASW0007k4r,SW05,c_cld,12,200,0.62,1.55,1.26419184939e+13,4,1.6.3,0.16456,0.6,2.7,1.06548453983e+13
012768,old,ASW0007k4r,SW05,c_cld,12,200,0.62,1.55,1.25791179615e+13,4,1.6.3,0.16456,0.6,2.7,1.06019159348e+13
012769,old,ASW0007k4r,SW05,c_cld,12,200,0.5,1.0,1.30048708155e+13,4,1.6.3,0.16456,0.6,2.7,1.06389522899e+13
012770,old,ASW0007k4r,SW05,c_cld,12,200,0.5,1.0,1.31618109451e+13,4,1.6.3,0.16456,0.6,2.7,1.07673409971e+13
012771,old,ASW0007k4r,SW05,c_cld,12,200,0.62,1.55,1.2732666362e+13,4,1.6.3,0.16456,0.6,2.7,1.07313293992e+13
013029,old,ASW0002asp,SW09,c_cld,12,200,0.5,1.0,1.68907861072e+12,4,1.6.3,0.16456,1.0,2.3,2.62671350995e+12
013053,old,ASW0006e0o,SW51,c_cld,8,200,0.5,1.0,6.62306726546e+12,4,1.6.3,0.16456,0.0,1.3,0
013055,old,ASW0006e0o,SW51,c_cld,10,200,0.5,1.0,4.66054617896e+12,4,1.6.3,0.16456,0.0,1.3,0
013056,old,ASW0006e0o,SW51,c_cld,12,200,0.5,1.0,3.85616991291e+12,4,1.6.3,0.16456,0.0,1.3,0
013160,old,ASW0002dx7,SW20,c_cld,12,200,0.5,1.0,1.97819963914e+12,4,1.6.3,0.16456,0.3,2.0,803790145139.0
013164,old,ASW0002dx7,SW20,c_cld,12,200,0.5,1.0,1.98054079277e+12,4,1.6.3,0.16456,0.3,2.0,804741412229.0
013165,old,ASW0002dx7,SW20,c_cld,12,200,0.5,1.0,1.84481644542e+12,4,1.6.3,0.16456,0.3,2.0,749593341884.0
013175,old,ASW0002dx7,SW20,c_cld,12,200,0.3,1.5,865803057300.0,4,1.6.3,0.16456,0.3,2.0,817443566809.0
013178,old,ASW0002dx7,SW20,c_cld,12,200,0.3,1.5,939519577806.0,4,1.6.3,0.16456,0.3,2.0,887042645892.0
013185,old,ASW0002dx7,SW20,c_cld,12,200,0.3,2.0,845983728997.0,4,1.6.3,0.16456,0.3,2.0,845983728997.0
013195,old,ASW0002dx7,SW20,c_cld,12,200,0.2,0.9,621259242126.0,4,1.6.3,0.16456,0.3,2.0,798836294544.0
